budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,Component1,Component2,Component3,Component4,Component5,cluster,Segment
8000000.0,Columbia Pictures Corporation,USA,Rob Reiner,Adventure,52287414.0,Stand by Me,R,1986-08-22,89,8.1,Wil Wheaton,299174,Stephen King,1986,1.0473391001032897,0.7890213371541956,-2.313789445532922,0.3201777934621991,-0.2929956357952719,1,second
6000000.0,Paramount Pictures,USA,John Hughes,Comedy,70136369.0,Ferris Bueller's Day Off,PG-13,1986-06-11,103,7.8,Matthew Broderick,264740,John Hughes,1986,1.2239501557727213,0.8848225709633173,-1.5419000395324036,0.4713261633330297,0.15440589710372654,1,second
15000000.0,Paramount Pictures,USA,Tony Scott,Action,179800601.0,Top Gun,PG,1986-05-16,110,6.9,Tom Cruise,236909,Jim Cash,1986,2.099613557455484,-0.27447259577144406,-0.9262437600798208,0.6341663650473559,1.601949625732199,4,
18500000.0,Twentieth Century Fox Film Corporation,USA,James Cameron,Action,85160248.0,Aliens,R,1986-07-18,137,8.4,Sigourney Weaver,540152,James Cameron,1986,3.465660650200779,2.019618985699476,-1.1017133205340837,1.7839866197400946,-0.41063012797723675,0,first
9000000.0,Walt Disney Pictures,USA,Randal Kleiser,Adventure,18564613.0,Flight of the Navigator,PG,1986-08-01,90,6.9,Joey Cramer,36636,Mark H. Baker,1986,-0.6429776520903535,0.16264571415935672,-0.9132976102746609,-0.3950070318320985,0.015584444180779769,1,second
6000000.0,Hemdale,UK,Oliver Stone,Drama,138530565.0,Platoon,R,1987-02-06,120,8.1,Charlie Sheen,317585,Oliver Stone,1986,2.47380168813465,1.1662681962330774,-1.2467897252245155,0.7348191485538391,1.0065686247836498,0,first
25000000.0,Henson Associates (HA),UK,Jim Henson,Adventure,12729917.0,Labyrinth,PG,1986-06-27,101,7.4,David Bowie,102879,Dennis Lee,1986,0.13753453898515255,0.6691389946744315,-0.7333633846640192,-0.39596261124750864,-0.40535644379092256,1,second
6000000.0,De Laurentiis Entertainment Group (DEG),USA,David Lynch,Drama,8551228.0,Blue Velvet,R,1986-10-23,120,7.8,Isabella Rossellini,146768,David Lynch,1986,0.5083831420015495,1.7014913208294637,-0.36151766283185355,0.12674077656048993,-0.2135291934091473,0,first
9000000.0,Paramount Pictures,USA,Howard Deutch,Comedy,40471663.0,Pretty in Pink,PG-13,1986-02-28,96,6.8,Molly Ringwald,60565,John Hughes,1986,-0.26081808214440594,0.13347179495541148,-0.7286845589831473,-0.1725009570889221,0.27164338183297665,1,second
15000000.0,SLM Production Group,USA,David Cronenberg,Drama,40456565.0,The Fly,R,1986-08-15,96,7.5,Jeff Goldblum,129698,George Langelaan,1986,0.3020791285507512,0.5520802952309845,-1.1933016351009404,-0.250276775943197,-0.010979822476980787,1,second
8800000.0,Rimfire Films,Australia,Peter Faiman,Adventure,174635000.0,Crocodile Dundee,PG-13,1986-09-26,97,6.5,Paul Hogan,79465,Ken Shadie,1986,0.9679130196020234,-0.8157430099726961,-0.8810911779789478,-0.028565189075957013,1.9961764775914563,4,
16000000.0,Thorn EMI Screen Entertainment,UK,Russell Mulcahy,Action,5900000.0,Highlander,R,1986-03-07,116,7.2,Christopher Lambert,104860,Gregory Widen,1986,0.19363623124121432,1.0821840548258448,-0.06796484705360037,0.02220718618719189,-0.28759978776199413,1,second
6000000.0,Twentieth Century Fox Film Corporation,USA,David Seltzer,Comedy,8200000.0,Lucas,PG-13,1986-03-28,100,6.8,Corey Haim,12228,David Seltzer,1986,-0.7139971296246462,0.4602391205284615,-0.3774743676790899,-0.30034485869243477,0.05101648768383895,1,second
25000000.0,Twentieth Century Fox Film Corporation,USA,John Carpenter,Action,11100000.0,Big Trouble in Little China,PG-13,1986-07-02,99,7.3,Kurt Russell,101678,Gary Goldman,1986,0.05047106254909918,0.5547591540712219,-0.7668300210419647,-0.3752759927551949,-0.43546037942257854,1,second
